reviewer,date,rating,title,text,source,cleaned_text,text_no_stop,stemmed_text,review_length
Rajaa Lagrioui,,,No Title (Google Maps),"Une réservation faite via hôtel beds, payée et débitée, a mon arrivée pas de resa, la cacophonie totale pour resolver la situation car l hôtel n avait rien a voir avec ce problème (au passage site à eviter car ce problème m est arrivé deux …",Google Maps,une réservation faite via hôtel beds payée et débitée a mon arrivée pas de resa la cacophonie totale pour resolver la situation car l hôtel n avait rien a voir avec ce problème au passage site à eviter car ce problème m est arrivé deux,réservation faite via hôtel beds payée débitée arrivée resa cacophonie totale resolver situation hôtel rien voir problème passage site eviter problème est arrivé deux,réservation faite via hôtel bed payée débitée arrivée resa cacophonie totale resolver situation hôtel rien voir problème passage site eviter problème est arrivé deux,24
Luiz Prado,,,No Title (Google Maps),"Un hôtel n'est pas compatible du tout avec una boîte de nuit qui joue la musique trés fort la nuit, au point que l'on peut écouter dés les chambres!  Ils doivent choisir s'ils veulent être un hôtel ou bien une boîte de nuit sans aucune …",Google Maps,un hôtel nest pas compatible du tout avec una boîte de nuit qui joue la musique trés fort la nuit au point que lon peut écouter dés les chambres  ils doivent choisir sils veulent être un hôtel ou bien une boîte de nuit sans aucune,hôtel nest compatible tout una boîte nuit joue musique trés fort nuit point lon peut écouter dés chambres doivent choisir sils veulent être hôtel bien boîte nuit sans aucune,hôtel nest compatible tout una boîte nuit joue musique tré fort nuit point lon peut écouter dé chambre doivent choisir sil veulent être hôtel bien boîte nuit san aucune,29
rezkallahb2022,,,No Title (Google Maps),"Hôtel bien situé , en plein centre de Tunis ,chambre/suite très propres et chaleureuse , petit déjeuner top et variés(viennoiseries_crepes_fruits_yaourts....).||Nb: le point le plus fort c le personnels , ils sont au top et toujours à l'écoute  merci a eux",Google Maps,hôtel bien situé  en plein centre de tunis chambresuite très propres et chaleureuse  petit déjeuner top et variésviennoiseriescrepesfruitsyaourtsnb le point le plus fort c le personnels  ils sont au top et toujours à lécoute  merci a eux,hôtel bien situé plein centre tunis chambresuite très propres chaleureuse petit déjeuner top variésviennoiseriescrepesfruitsyaourtsnb point plus fort personnels sont top toujours lécoute merci,hôtel bien situé plein centre tuni chambresuite trè propre chaleureuse petit déjeuner top variésviennoiseriescrepesfruitsyaourtsnb point plu fort personnel sont top toujour lécoute merci,23
Lauriana Nouriah,,,No Title (Google Maps),"J’y suis à l’instant où j’écris ce commentaire , merci pour ce moment exceptionnel !!! Nous avons réserver la suite et c’est sans regret , tout y est parfait pour passer un moment des plus agréable ! Merci infiniment , nous reviendrons très vite",Google Maps,jy suis à linstant où jécris ce commentaire  merci pour ce moment exceptionnel  nous avons réserver la suite et cest sans regret  tout y est parfait pour passer un moment des plus agréable  merci infiniment  nous reviendrons très vite,jy suis linstant où jécris commentaire merci moment exceptionnel réserver suite cest sans regret tout est parfait passer moment plus agréable merci infiniment reviendrons très vite,jy sui linstant où jécri commentaire merci mo exceptionnel réserver suite cest san regret tout est parfait passer mo plu agréable merci infini reviendron trè vite,26
Philippe Georgel,,,No Title (Google Maps),Catastrophique.... Une boîte de nuit au 1er etage et les murs de l'hôtel en carton.... 3 plaintes à la réception et tout le personnel s'en fout.... Jamais vu ca dans un hôtel qui se prétend business et qui pratique des tarifs ahurissants....,Google Maps,catastrophique une boîte de nuit au er etage et les murs de lhôtel en carton  plaintes à la réception et tout le personnel sen fout jamais vu ca dans un hôtel qui se prétend business et qui pratique des tarifs ahurissants,catastrophique boîte nuit er etage murs lhôtel carton plaintes réception tout personnel sen fout jamais vu ca hôtel prétend business pratique tarifs ahurissants,catastrophique boîte nuit er etage mur lhôtel carton plainte réception tout personnel sen fout jamai vu ca hôtel prétend busines pratique tarif ahurissant,23
Ilam Zit,,,No Title (Google Maps),"Hotel pas très bien placé, les chambre ne correspondent pas au photo, nois avion pourtans pris chambre supérieure mais la chambre n'est pas très propre, salle de baim nickel. Par contre très bon petit-déjeuner tout etais bon et neuf",Google Maps,hotel pas très bien placé les chambre ne correspondent pas au photo nois avion pourtans pris chambre supérieure mais la chambre nest pas très propre salle de baim nickel par contre très bon petitdéjeuner tout etais bon et neuf,hotel très bien placé chambre correspondent photo nois avion pourtans pris chambre supérieure chambre nest très propre salle baim nickel contre très bon petitdéjeuner tout etais bon neuf,hotel trè bien placé chambre correspondent photo noi avion pourtan pri chambre supérieure chambre nest trè propre salle baim nickel contre trè bon petitdéjeuner tout etai bon neuf,28
Pierre Nicolas Roger,,,No Title (Google Maps),"Un passage d une nuit au business hôtel de Tunis, mais un passage réussi, la literie est très confortable, identiques aux standards européens, les chambres sont bien équipées , mini bar , Nespresso ect... …",Google Maps,un passage d une nuit au business hôtel de tunis mais un passage réussi la literie est très confortable identiques aux standards européens les chambres sont bien équipées  mini bar  nespresso ect,passage nuit business hôtel tunis passage réussi literie est très confortable identiques standards européens chambres sont bien équipées mini bar nespresso ect,passage nuit busines hôtel tuni passage réussi literie est trè confortable identique standard européen chambre sont bien équipée mini bar nespresso ect,22
Sabrina ARIOUAT,,,No Title (Google Maps),"voyage pro : très bel accueil, personnels chaleureux et gentils à l’écoute pour répondre à nos demandes, les plats sont très copieux. je rebondis par contre sur  le bruit la nuit, musique jusqu'à minuit voir même plus tard à cause des …",Google Maps,voyage pro  très bel accueil personnels chaleureux et gentils à lécoute pour répondre à nos demandes les plats sont très copieux je rebondis par contre sur  le bruit la nuit musique jusquà minuit voir même plus tard à cause des,voyage pro très bel accueil personnels chaleureux gentils lécoute répondre demandes plats sont très copieux rebondis contre bruit nuit musique jusquà minuit voir même plus tard cause,voyage pro trè bel accueil personnel chaleureux gentil lécoute répondre demande plat sont trè copieux rebondi contre bruit nuit musique jusquà minuit voir même plu tard cause,27
Solenza Calis,,,No Title (Google Maps),"Je mets 4étoiles et pourtant j'adorais y mette 5, le détail des points positifs : 5 étoiles pour l'accueil. Pour le restaurant  menu au top 🔝 pour l'hygiène pour la chambre extra... Le lit excellent... Le détail de la douche en verre qui …",Google Maps,je mets étoiles et pourtant jadorais y mette  le détail des points positifs   étoiles pour laccueil pour le restaurant  menu au top  pour lhygiène pour la chambre extra le lit excellent le détail de la douche en verre qui,mets étoiles pourtant jadorais mette détail points positifs étoiles laccueil restaurant menu top lhygiène chambre extra lit excellent détail douche verre,met étoile pourtant jadorai mette détail point positif étoile laccueil restaurant menu top lhygiène chambre extra lit excellent détail douche verre,21
Cédric Zara,,,No Title (Google Maps),"Bonne hôtel simple propre mais tout les soir, on entend la musique de la boîte de nuit qui se trouve au dernier étage de l’hôtel",Google Maps,bonne hôtel simple propre mais tout les soir on entend la musique de la boîte de nuit qui se trouve au dernier étage de lhôtel,bonne hôtel simple propre tout soir entend musique boîte nuit trouve dernier étage lhôtel,bonne hôtel simple propre tout soir entend musique boîte nuit trouve dernier étage lhôtel,14
Nasfi rim,,,No Title (Google Maps),On a passé une nuitée à la  suite du 3ème étage c'était top!! Personnels serviables et souriants. Petit déjeuner varié et correct.,Google Maps,on a passé une nuitée à la  suite du ème étage cétait top personnels serviables et souriants petit déjeuner varié et correct,passé nuitée suite ème étage cétait top personnels serviables souriants petit déjeuner varié correct,passé nuitée suite ème étage cétait top personnel serviable souriant petit déjeuner varié correct,14
